family,n,metric,p10,p50,p90,unit,interpretation_direction
F1,536,body_area_m2_per_m,1.8376879197445888,3.0788274787374115,5.296103199445882,m²/m,lower_proxy
F1,536,forcing_kW_m,5.822142854588424,21.03095009154667,73.44409502499936,kW/m,lower_proxy
F1,536,tailwater_mismatch,0.0530111311505867,0.240924354392733,0.3736085151420618,ratio,lower_mismatch
F1,536,rock_threshold_ratio,0.0031416842644516,0.0258614531534393,0.2558208612708211,ratio,lower_proxy
F1,536,slide_partial_factor_response,2.655793796874386,9.2828931184505,18.08635304690956,diagnostic,higher_favourable_diagnostic
F1,536,flotation_ratio_diagnostic,0.9762779955846104,1.483585020537108,1.9129692182774811,diagnostic,contextual_diagnostic
F2,1560,body_area_m2_per_m,1.4105269402614928,2.267176049073893,4.134773201609593,m²/m,lower_proxy
F2,1560,forcing_kW_m,19.314772905431465,64.49727108795965,171.5429042843697,kW/m,lower_proxy
F2,1560,tailwater_mismatch,0.033110294767238,0.1633034927297626,0.3359640696643416,ratio,lower_mismatch
F2,1560,rock_threshold_ratio,0.0137797517373867,0.173196753154126,0.7262764794346804,ratio,lower_proxy
F2,1560,slide_partial_factor_response,2.175533682388183,8.354638448157804,18.88827797353047,diagnostic,higher_favourable_diagnostic
F2,1560,flotation_ratio_diagnostic,0.7804692551464174,0.9576755253014536,1.490353724584484,diagnostic,contextual_diagnostic
F3,3245,body_area_m2_per_m,3.704970892266719,7.6150784104593,11.564419435955044,m²/m,lower_proxy
F3,3245,forcing_kW_m,6.547091684205319,22.37440507724947,73.5820864900541,kW/m,lower_proxy
F3,3245,tailwater_mismatch,0.0394917573444969,0.2057112073568304,0.3608835605120332,ratio,lower_mismatch
F3,3245,rock_threshold_ratio,0.0041959433066829,0.0605162401436162,0.5008300661166947,ratio,lower_proxy
F3,3245,slide_partial_factor_response,1.4319471238517618,4.386613653440718,8.631612798130252,diagnostic,higher_favourable_diagnostic
F3,3245,flotation_ratio_diagnostic,1.3664987913320177,1.776316345043615,2.29787247576735,diagnostic,contextual_diagnostic
F4,4976,body_area_m2_per_m,3.621443731411216,8.314144446836309,14.790351916734412,m²/m,lower_proxy
F4,4976,forcing_kW_m,6.576995246287165,24.2653003003154,82.38255443577525,kW/m,lower_proxy
F4,4976,tailwater_mismatch,0.0391240998003747,0.1934459033112499,0.3558869830893006,ratio,lower_mismatch
F4,4976,rock_threshold_ratio,0.013551808277211,0.169845352336019,0.7207837827536414,ratio,lower_proxy
F4,4976,slide_partial_factor_response,1.877975713405876,6.058374607857708,11.92708544214548,diagnostic,higher_favourable_diagnostic
F4,4976,flotation_ratio_diagnostic,1.2437859516911054,1.6245793299588254,2.082558027387809,diagnostic,contextual_diagnostic
