scenario_id,family,unit_discharge_m2s,Fr1,forcing_kW_m
SYN50K-10384-d0e0198c65,F3,0.51837732,4.7673841,3.1460694
SYN50K-42794-e9b07411cd,F3,0.58087081,6.6071066,7.2058957
SYN50K-14820-70985ba545,F3,1.5049714,8.6665502,56.922315
SYN50K-27310-aab230369f,F3,1.3331186,6.1248753,24.979334
SYN50K-09510-7f9252ce0a,F3,0.69926872,8.2230712,14.498572
SYN50K-08528-74272e0c28,F3,2.4402055,8.6655233,127.35767
SYN50K-12436-20a803c5a0,F3,1.7420045,6.1118456,38.856677
SYN50K-45700-996790c761,F3,1.5975516,7.529857,49.256994
SYN50K-00194-a2e42731f4,F3,2.1160894,5.5904625,45.267529
SYN50K-31016-4212d8f90f,F3,2.3660938,8.146065,108.78511
SYN50K-32138-05ec2f47fd,F3,0.53064022,6.6927984,6.3461688
SYN50K-24060-8225ea75da,F3,0.72125681,8.1086826,14.900608
SYN50K-15260-a91ef27d66,F3,1.2138404,7.9797412,34.50576
SYN50K-00854-ea9daff2b7,F3,1.2497053,8.2741454,38.569165
SYN50K-45046-3f8404e959,F3,2.0512912,8.4425423,91.19998
SYN50K-49704-224c95d4bd,F3,1.7085908,6.3453026,40.369113
SYN50K-10242-f5593079bc,F3,1.290055,7.0183897,30.415118
SYN50K-19088-ba22e552a7,F4,1.14856,6.6073646,22.447921
SYN50K-07960-0929317972,F4,1.5646065,6.4155674,35.58303
SYN50K-41554-2c0c8d3cb2,F4,1.2430933,5.5984072,18.704344
SYN50K-10230-b06449bca7,F4,0.93921045,6.2149552,14.322829
SYN50K-13412-a0406fc699,F4,0.51845295,7.5537338,7.5914461
SYN50K-15564-aafb0e9252,F4,3.0587984,5.6198307,84.513926
SYN50K-03174-bf6bd64372,F4,1.4377738,6.8833666,35.177581
SYN50K-26708-a4e89f5eec,F4,1.4978459,8.9375749,59.506069
SYN50K-25126-d5357c2659,F4,2.5641953,7.8966569,117.83639
SYN50K-37960-b673f05a8b,F4,0.61279299,4.7280208,4.0862769
SYN50K-00946-cbdfecd0ee,F4,1.6182782,5.617149,29.220935
SYN50K-35606-b01df240e0,F4,0.71572882,6.2340924,9.1590064
SYN50K-48960-7a46296d4f,F4,1.2287382,6.8127236,26.56976
SYN50K-12796-d933bbb8fb,F4,1.6760299,8.5420885,66.44703
SYN50K-15464-6e279245de,F4,0.92374606,6.420627,14.806723
SYN50K-16036-d98177193e,F4,1.2389136,7.4581688,31.701603
SYN50K-39924-e80d5f0db3,F4,0.88299983,6.8259903,15.373188
SYN50K-48432-405dc11691,F4,1.2512805,8.3659496,39.39188
SYN50K-15140-bdcaf474c9,F4,0.74288493,5.2051176,6.8634977
SYN50K-38866-fca68d440a,F4,1.2074058,4.628295,12.096768
SYN50K-22882-f4d7f9ecbc,F4,1.786592,4.7327791,24.364927
SYN50K-46342-c4f0e3f1cc,F4,0.66081722,7.3432727,10.81818
SYN50K-44378-be4c0598d9,F4,1.8165705,5.8342851,38.131884
SYN50K-49540-565bcd9b09,F4,0.77802948,5.1187245,7.1665934
SYN50K-05100-712854ce3b,F4,0.5099931,8.4057037,8.898061
SYN50K-00864-f9aff4f657,F4,3.5060768,5.6717999,108.01969
SYN50K-09014-fc0ff80e46,F4,0.74371549,6.9083787,11.80291
SYN50K-35856-c58cefae6e,F4,0.71719117,5.3485472,6.8345036
SYN50K-45304-9fbe825303,F4,1.4704554,8.836286,56.599839
SYN50K-47988-61547ec5a3,F4,1.6577264,8.0469165,58.858708
SYN50K-16102-90abd94ced,F4,1.0237279,8.1318679,26.843841
SYN50K-33756-9fa15e7180,F4,1.1581162,8.3272762,34.350979
SYN50K-41054-ede5219ff7,F4,0.50953808,7.7051841,7.6378838
SYN50K-31790-9d42fdf9f9,F4,1.8695981,8.2266692,74.729782
SYN50K-27488-5197f3ab4e,F4,0.88241904,8.0414349,20.554161
SYN50K-34488-fcc5f827ef,F4,1.2405894,5.4321314,17.568283
SYN50K-44892-1dfe667173,F4,2.6345402,8.8162163,149.01412
SYN50K-28620-a648aa949f,F4,2.380368,7.8363882,102.71096
SYN50K-20656-fdb0002906,F4,2.6507391,5.478211,63.319947
SYN50K-14732-a7f91d18b6,F4,0.46296567,8.418982,7.5935874
SYN50K-08726-d62d6ffa17,F4,1.3787466,7.3472201,36.890013
SYN50K-36482-851d2f140a,F4,1.7297699,8.0512926,63.243142
SYN50K-15356-8276524ca4,F4,0.75479144,5.9549165,9.1752905
SYN50K-41128-a89e03dea9,F4,1.4749659,5.4834215,23.880654
SYN50K-05298-88a268c38c,F4,0.75341696,6.192247,9.8512354
SYN50K-22436-8e24f14fe7,F4,1.0502456,5.4990592,13.635285
SYN50K-29646-8e65968587,F4,1.7811064,4.5980121,22.803485
SYN50K-43540-7d95ce0d75,F4,2.0111879,5.9973157,47.629228
SYN50K-09242-8a0d1e3104,F4,1.5841747,4.5358558,18.220442
SYN50K-39706-886cca2666,F4,0.90855479,6.780493,15.926267
SYN50K-35966-9b1c2ec7d5,F4,2.5721457,5.6949631,64.973103
SYN50K-10104-5365ff1717,F4,0.5396608,7.8452617,8.675041
SYN50K-48286-04904485d6,F4,1.7286144,7.8419268,60.33609
SYN50K-30186-2df27962b3,F4,2.8266589,8.5449233,158.86986
SYN50K-44032-7b90c2f7e2,F4,2.9973366,7.247758,131.34712
SYN50K-05656-0abea52f03,F4,0.44110843,5.6925068,3.4365237
SYN50K-09010-dc752b573b,F4,1.18389,6.9584305,25.952815
SYN50K-08596-5c0342bd97,F4,1.2883985,7.680201,35.640814
SYN50K-26664-ec62ca6a61,F4,1.3953973,8.3333844,46.924218
SYN50K-24600-a86729c0cb,F4,1.2135865,7.6838599,32.285874
SYN50K-38750-2f83ae0568,F4,1.919237,5.6926031,39.850982
SYN50K-41506-06891fc91c,F4,2.9379383,8.3776119,163.77987
SYN50K-01242-fea6207700,F4,2.3063133,4.6871478,36.536514
SYN50K-45660-88c509d4f7,F4,1.3095475,6.6964458,28.629526
SYN50K-04584-9ecef409c6,F4,2.5703505,7.4187722,105.98583
SYN50K-22326-2b0e4faaad,F4,1.4360759,7.2851977,38.888903
SYN50K-40746-8fb6384b9c,F4,0.65579611,4.5774338,4.2721448
SYN50K-12090-f9f371b443,F4,0.41742943,8.5351931,6.5420058
SYN50K-41962-d69b546833,F4,1.4178896,4.9258315,18.013708
SYN50K-38550-22ef9b50cf,F4,1.8398948,6.590739,49.00325
SYN50K-43072-a44806c330,F4,0.48173645,8.2289173,7.8007103
SYN50K-01020-d32c6a9e64,F4,1.0136114,8.140931,26.454187
SYN50K-33926-9be4d64719,F4,0.49228767,8.6179803,8.7552733
SYN50K-09316-7329dc67da,F4,1.5732875,6.5230709,37.037202
SYN50K-22514-2de8899a19,F4,0.94763651,5.968404,13.464402
SYN50K-45476-84b329590d,F4,0.46196045,5.6635318,3.6748738
SYN50K-08424-cb02fab9ea,F4,1.4994042,4.5633856,16.841379
SYN50K-33850-bb672d7ed4,F4,1.1305443,6.6469106,22.105615
SYN50K-10890-a751cefe18,F4,0.60428541,5.5304147,5.4883203
SYN50K-28050-5a9d2b1500,F4,1.3020086,5.6888247,20.845911
SYN50K-48458-9f67d2aaa2,F4,1.0959784,7.6874715,27.264055
SYN50K-41772-bbbaada876,F4,2.6571721,7.8111783,122.68525
SYN50K-37950-66278d4f18,F4,1.9691631,4.6909995,28.124543
SYN50K-20510-c02006f7d3,F4,2.9382455,5.8834269,86.366934
SYN50K-06498-f8278ecf66,F4,1.0719577,7.2380201,23.610879
SYN50K-01658-dfe233ddd9,F4,0.71842146,6.5556319,10.121726
SYN50K-44402-babe05fbc3,F4,2.4600828,6.3677722,74.604888
SYN50K-27170-5add078b71,F4,1.1260255,5.2557506,13.997139
SYN50K-43866-0032d3299d,F4,1.788305,4.5823413,22.790835
