family,n,share_pct,B_over_P_p10,B_over_P_p50,B_over_P_p90,T_over_P_p10,T_over_P_p50,T_over_P_p90,downstream_slope_h_per_v_p10,downstream_slope_h_per_v_p50,downstream_slope_h_per_v_p90,head_star_p10,head_star_p50,head_star_p90,q_star_p10,q_star_p50,q_star_p90,Fr1_p10,Fr1_p50,Fr1_p90,crest_ratio_p10,crest_ratio_p50,crest_ratio_p90,tailwater_star_p10,tailwater_star_p50,tailwater_star_p90,area_star_p10,area_star_p50,area_star_p90,force_star_p10,force_star_p50,force_star_p90,rock_star_p10,rock_star_p50,rock_star_p90,slide_partial_factor_response_p10,slide_partial_factor_response_p50,slide_partial_factor_response_p90
F1,536,5.195308713773383,1.687675227444681,2.1476785051496314,2.58473983380025,0.4520156528678084,0.6308374390392384,0.8887906853854368,1.0374372162966932,1.4921430623632697,1.879969799532649,0.3408487526795103,0.5243197668555502,0.7839969559951212,0.1088916415360578,0.2035455356874877,0.3779589164953497,4.827118223932018,6.137115141045893,8.208296897530264,3.151858183058682,8.280237596703975,17.315701674396568,0.6304961627316275,0.785609785703097,1.1320606850965644,1.1321060452302198,1.3825912962243927,1.6768763470556902,0.0818395468513955,0.2479102228268406,0.7442535620515864,0.0031416842644516,0.0258614531534393,0.2558208612708211,2.655793796874386,9.2828931184505,18.08635304690956
F2,1560,15.12067461471358,1.268834401964278,1.7400458074916316,2.3433487940819684,0.3352051181786726,0.5632470229910788,0.8741579973067579,0.7074703938175281,1.1536674957304711,1.7293167502442193,0.5087635718921006,0.8033058247880983,1.1915815829539649,0.1947986583501795,0.3936771414686372,0.6985266680207044,5.051643958096403,6.923070481561908,8.64247676118145,3.826513562780685,10.614781807303588,18.416806204794828,0.7230528908380971,1.0161992184760775,1.2874862269392229,0.8542467636941343,1.1669523887910505,1.5366869144220885,0.2630356912937132,0.8296539714079721,2.272149660997366,0.0137797517373867,0.173196753154126,0.7262764794346804,2.175533682388183,8.354638448157804,18.88827797353047
F3,3245,31.45294174663177,1.100657068647236,1.3470227476899703,1.607505109015812,0.1574504019663522,0.2733031698068928,0.4185562490785302,0.7871718169912226,1.0672971249324053,1.3605278998218278,0.1526034518015496,0.2608884983540797,0.4099381833134692,0.0325478156682135,0.0724696316011877,0.1421744761939493,5.098545583541316,7.098692825561376,8.668553091272782,3.514887967622858,10.200040575103111,17.760946944737416,0.6847621478702827,1.011240081620642,1.327816972858018,0.679340248541178,0.8123903172102641,0.9636409203551524,0.0129898532048022,0.0517751487917687,0.1769942070409555,0.0041959433066829,0.0605162401436162,0.5008300661166947,1.4319471238517618,4.386613653440718,8.631612798130252
F4,4976,48.23107492488126,1.5665437741025454,1.8813740834746049,2.2109186037956245,0.1681815451927462,0.2948440883282383,0.4727538402868301,1.2500930398263088,1.5869286967602518,1.9022979790721453,0.1759656097832349,0.3080815910559445,0.530483897933908,0.0401102452177239,0.0925867988913658,0.2105369240400792,4.8347074096257,6.346399506076037,8.323494162826442,4.229536172476713,11.602915527583423,18.42967301153358,0.664003145410436,0.9244879634368952,1.2691235309404334,0.916539084265548,1.0871784443380796,1.2941922008518951,0.0162692592758494,0.0679882962521974,0.2855016252145618,0.013551808277211,0.169845352336019,0.7207837827536414,1.877975713405876,6.058374607857708,11.92708544214548
